source,target
Low-density parity check codes over GF(q),Power-efficient LDPC code decoder architectureLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Mimo-ofdm over an Underwater Acoustic ChannelLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Soft McEliece: MDPC code-based McEliece cryptosystems with very compact keys through real-valued intentional errorsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A Novel Architecture for Scalable  High Throughput  Multi-standard LDPC DecoderLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Embedding polynomial time memory mapping and routing algorithms on-chip to design configurable decoder architecturesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),An Ldpc Decoding Algorithm Utilizing Early DecisionsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Efficient decoder design for high-throughput LDPC decodingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channelsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Source and Channel Optimal Rate LDPC Code Design for one Sender in BE-MAC with Source CorrelationLow-density parity check codes over GF(q)
Mimo-ofdm over an Underwater Acoustic Channel,Peer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler ShiftsMimo-ofdm over an Underwater Acoustic Channel
Mimo-ofdm over an Underwater Acoustic Channel,Efficient Implementation of Elliptic Curve Cryptography on Dsp for Underwater Sensor NetworksMimo-ofdm over an Underwater Acoustic Channel
Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel,High Throughput Random Access via Codes on Graphs: Coded Slotted ALOHAGeneralized and doubly generalized LDPC codes with random component codes for the binary erasure channel
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A New Channel Coding Technique to Approach the Channel CapacityOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channelOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A more accurate one-dimensional analysis and design of irregular LDPC codesOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Single and Multiple Antenna Communication Systems: Performance Analysis and Joint Source-channel CodingOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Tree Expectation Propagation for ML Decoding of LDPC Codes over the BECOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Coherent continuous-phase frequency-shift keying: Parameter optimization and code designOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A Novel Approach to Built an Area Efficient Architecture for Block Ldpc CodesOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Forced Convergence Decoding of LDPC Codes – EXIT Chart Analysis and Combination with Node Complexity Reduction TechniquesOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,CS image reconstruction by novel small length LDPC codeOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,An Ldpc Decoding Algorithm Utilizing Early DecisionsOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,An improved low-complexity sum-product decoding algorithm for low-density parity-check codesOn the design of low-density parity-check codes within 0.0045 dB of the Shannon limit
Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation,Summary List of Journal Papers -first AuthorChannel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation
Spinal codes,Compressive Coded Modulation for Seamless Rate AdaptationSpinal codes
Polarization for arbitrary discrete memoryless channels,Polar Codes with Mixed KernelsPolarization for arbitrary discrete memoryless channels
Polarization for arbitrary discrete memoryless channels,Exponents of polar codes using algebraic geometric code kernelsPolarization for arbitrary discrete memoryless channels
Polarization for arbitrary discrete memoryless channels,Expansion coding: Achieving the capacity of an AEN channelPolarization for arbitrary discrete memoryless channels
Polarization for arbitrary discrete memoryless channels,Polar Coding for the General Wiretap Channel With Extensions to Multiuser ScenariosPolarization for arbitrary discrete memoryless channels
Polarization for arbitrary discrete memoryless channels,Capacity-Achieving Rateless Polar CodesPolarization for arbitrary discrete memoryless channels
Variable-rate Coding with Feedback for Universal Communication Systems *,Coding vs. Packet Retransmission over Noisy ChannelsVariable-rate Coding with Feedback for Universal Communication Systems *
